Om0,h,S8,n_s,log10fR0abs,log10H0rc,dataset
0.2880005469545722,0.6528692024759949,0.7618011540733278,1.007105732196942,-5.321523587219417,0.7057330726645887,N60
0.2591499377042055,0.7287316829897463,0.8467897183261812,0.917709436872974,-4.903300207108259,0.3150104574859143,N60
0.31610259106382727,0.6809980921447277,0.6892427446320653,1.0415828415658326,-6.095458136871457,0.060752807371318385,N60
0.3110581646673381,0.7488330552354455,0.775608394946903,1.018380892602727,-5.881865146104246,-0.2263299043755978,N60
0.2633230835199356,0.6983708101324737,0.928606298007071,0.922014467837289,-4.573985394556075,0.9674654780421406,N60
0.2829099865630269,0.720705506298691,0.6748494589701295,0.982837335811928,-5.698749726172537,0.5545338874217123,N60
0.341570455674082,0.6702499382197857,0.8230236812494696,0.9579964853357524,-6.851808350067586,0.16399591485969722,N60
0.3440740969963372,0.7345896979793907,0.6560844598338008,0.935103214904666,-5.149851586204022,-0.011876136995851938,N60
0.28066421058028934,0.6868587746284902,0.8042514848522841,1.0244841643609106,-6.458953102584928,0.3678651377558708,N60
0.2721261132508516,0.7064666804857552,0.7943365204147994,0.9729529176838696,-6.275331061799079,0.7932300082407893,N60
0.3027113883756101,0.658730224147439,0.9473409770056604,0.986194033920765,-5.123493569437414,-0.41454810714349144,N60
0.32012789947912096,0.7140634736046195,0.8655152688734233,0.9988441044464708,-4.666310789063573,0.24711187924258415,N60
0.2554008215665817,0.6636105730198324,0.7079799985513091,0.9416989068500697,-6.014435317367315,0.4912806881126016,N60
0.29842521268874406,0.7421906945295632,0.8866633808240294,1.0405355609022082,-6.7488394333049655,0.8935530966613441,N60
0.3272026785649359,0.6917318794876337,0.743026954960078,0.9001551954075694,-5.557902337051928,-0.1779446962755173,N60
0.3301752253435552,0.7385306226089596,0.8159001518040896,0.9785068924538791,-6.213028815574944,0.5346885954029859,N60
0.2950864557176828,0.6892396788112819,0.6628933985717594,0.9623452434316278,-4.865971676073968,0.18946309043094522,N60
0.2520741766318679,0.7166532122530043,0.9353999157436191,1.014013828150928,-5.3609868586063385,-0.11019279770553109,N60
0.3230883342213928,0.6673685610294342,0.7872351873666048,0.9263998470269144,-6.552993690595031,0.8570401387289166,N60
0.3056347006000578,0.7117911981418729,0.7241593641228974,0.9132691257633269,-6.9697400839067996,0.43118767966516314,N60
0.26883658934384586,0.6597534815780819,0.867793508991599,1.0460414584726097,-5.661708638537675,-0.04963243803940709,N60
0.2773867979645729,0.7336636447347701,0.7265551950782537,0.947928062081337,-4.613773958291858,-0.3723807557020336,N60
0.34698529792949556,0.6816326022148133,0.8840927463956176,1.011527728009969,-5.766679100226611,0.7311546068172903,N60
0.33865921339020133,0.7232924802228808,0.7453196465969085,1.0355093125719577,-5.007106340955943,0.919109464623034,N60
0.28618744052946565,0.6740105024538935,0.9028643415309489,0.9051997500937432,-6.316358955111355,-0.1977007959038019,N60
0.2666126495227218,0.7451694552786648,0.7054307089187205,0.9938544772099704,-6.4206703011877835,0.13659734753891828,N60
0.30813481034711004,0.6958819475024939,0.849058210849762,0.9467068404424935,-5.268986886832863,0.6073286023922264,N60
